topic_id,subject,difficulty,tag
1001,Mathematics,Hard,Mathematics-Concept1
1002,Mathematics,Hard,Mathematics-Concept2
1003,Mathematics,Hard,Mathematics-Concept3
1004,Mathematics,Easy,Mathematics-Concept4
1005,Mathematics,Hard,Mathematics-Concept5
1006,Mathematics,Hard,Mathematics-Concept6
1007,Mathematics,Hard,Mathematics-Concept7
1008,Mathematics,Medium,Mathematics-Concept8
1009,Mathematics,Hard,Mathematics-Concept9
1010,Mathematics,Easy,Mathematics-Concept10
1011,Biology,Easy,Biology-Concept1
1012,Biology,Easy,Biology-Concept2
1013,Biology,Hard,Biology-Concept3
1014,Biology,Medium,Biology-Concept4
1015,Biology,Easy,Biology-Concept5
1016,Biology,Easy,Biology-Concept6
1017,Biology,Easy,Biology-Concept7
1018,Biology,Easy,Biology-Concept8
1019,Biology,Medium,Biology-Concept9
1020,Biology,Easy,Biology-Concept10
1021,Physics,Medium,Physics-Concept1
1022,Physics,Hard,Physics-Concept2
1023,Physics,Easy,Physics-Concept3
1024,Physics,Easy,Physics-Concept4
1025,Physics,Easy,Physics-Concept5
1026,Physics,Medium,Physics-Concept6
1027,Physics,Hard,Physics-Concept7
1028,Physics,Easy,Physics-Concept8
1029,Physics,Hard,Physics-Concept9
1030,Physics,Easy,Physics-Concept10
1031,History,Easy,History-Concept1
1032,History,Medium,History-Concept2
1033,History,Medium,History-Concept3
1034,History,Medium,History-Concept4
1035,History,Medium,History-Concept5
1036,History,Hard,History-Concept6
1037,History,Easy,History-Concept7
1038,History,Medium,History-Concept8
1039,History,Hard,History-Concept9
1040,History,Easy,History-Concept10
1041,Chemistry,Easy,Chemistry-Concept1
1042,Chemistry,Easy,Chemistry-Concept2
1043,Chemistry,Easy,Chemistry-Concept3
1044,Chemistry,Easy,Chemistry-Concept4
1045,Chemistry,Easy,Chemistry-Concept5
1046,Chemistry,Medium,Chemistry-Concept6
1047,Chemistry,Medium,Chemistry-Concept7
1048,Chemistry,Hard,Chemistry-Concept8
1049,Chemistry,Easy,Chemistry-Concept9
1050,Chemistry,Medium,Chemistry-Concept10
